location_found_within,from_user,id,created_at,text
Charleston,KevinAllenSmith,157112397025386496,2012-01-11 14:51:29 UTC,Rick Santorum's polling at 19% in SC? Sounds like we need to deport about 19% of South Carolinians.
Charleston,DarbyKeene,157113238100774912,2012-01-11 14:54:49 UTC,RT @KevinAllenSmith: Rick Santorum's polling at 19% in SC? Sounds like we need to deport about 19% of South Carolinians.
Charleston,CCPNews,157113601927290880,2012-01-11 14:56:16 UTC,They're heee-eeere. Meet the GOP contenders in person in the #Chs area. #Huntsman #Perry #Santorum http://t.co/s50Igw0j
Charleston,chasCityPaper,157114101015920640,2012-01-11 14:58:15 UTC,RT @CCPNews: They're heee-eeere. Meet the GOP contenders in person in the #Chs area. #Huntsman #Perry #Santorum http://t.co/s50Igw0j
Charleston,MtPlsntSCPatch,157115429586874368,2012-01-11 15:03:32 UTC,Santorum-Gingrich alliance? http://t.co/QVDnxUqW Sources say Gingrich could endorse Santorum. #sctweets #scgop
Charleston,blueprintCHS,157120694428237824,2012-01-11 15:24:27 UTC,RT @CCPNews: They're heee-eeere. Meet the GOP contenders in person in the #Chs area. #Huntsman #Perry #Santorum http://t.co/s50Igw0j
Charleston,Adam_Crisp,157133428196769794,2012-01-11 16:15:03 UTC,Santorum-Gingrich alliance? http://t.co/IiGmq9KN Sources say Gingrich could endorse Santorum. #sctweets #scgop
Charleston,TeamSantorumSC,157138808381505539,2012-01-11 16:36:26 UTC,"RT @ricksantorum: I'm holding events today in Ridgeway & Columbia, SC! Details here: http://t.co/GfRjhnE2 #fits #decision2012"
Charleston,CharlieZangelQQ,157138930112794624,2012-01-11 16:36:55 UTC,"RT @TeamSantorumSC: RT @ricksantorum: I'm holding events today in Ridgeway & Columbia, SC! Details here: http://t.co/GfRjhnE2 #fits #decision2012"
Charleston,JimHumbert,157138935569588225,2012-01-11 16:36:56 UTC,"RT @TeamSantorumSC: RT @ricksantorum: I'm holding events today in Ridgeway & Columbia, SC! Details here: http://t.co/GfRjhnE2 #fits #decision2012"
Charleston,SantorumSavage,157139186502209536,2012-01-11 16:37:56 UTC,"RT @TeamSantorumSC: RT @ricksantorum: I'm holding events today in Ridgeway & Columbia, SC! Details here: http://t.co/GfRjhnE2 #fits #decision2012"
Charleston,ceolas,157139317498720256,2012-01-11 16:38:27 UTC,"RT @TeamSantorumSC: RT @ricksantorum: I'm holding events today in Ridgeway & Columbia, SC! Details here: http://t.co/GfRjhnE2 #fits #decision2012"
Charleston,kristen_maria,157145197317337088,2012-01-11 17:01:49 UTC,"RT @DavidCornDC: Lots of understandable attn on NH horse race. But look at the ugly narrative Romney, Gingrich, Santorum each pushed http://t.co/8vlxniuU"
Charleston,2012NoBHO,157145234701164545,2012-01-11 17:01:58 UTC,newt - santorum - perry - rp - romney - huntsman. Live chat on http://t.co/1N0hOkUx Live: http://t.co/iftNYhWW
Charleston,remembrance,157145292209258498,2012-01-11 17:02:11 UTC,RT @postpolitics: Here's how the GOP delegate race stands after N.H.: Romney 20; Santorum 12; Paul 3; Hutsman 2; Gingrich/Perry 0.
Charleston,ricknelson7,157148771300540416,2012-01-11 17:16:01 UTC,Santorum gears up in SC with 5 new campaign offices. HQ still on Johnnie Dodds Blvd. in Mount Pleasant.
Charleston,clesnie,157149465764036609,2012-01-11 17:18:46 UTC,Congrats to @RickSantorum on being the only conservative candidate this week to not stick his foot in his mouth.
Charleston,postandcourier,157150404537360386,2012-01-11 17:22:30 UTC,Santorum gears up in SC with five new campaign offices. HQ remains on Johnnie Dodds Blvd. in Mount Pleasant. #chs #scpol #scprimary
Charleston,ReporterQuintin,157150996215250944,2012-01-11 17:24:51 UTC,RT @postandcourier: Santorum gears up in SC with five new campaign offices. HQ remains on Johnnie Dodds Blvd. in Mount Pleasant. #chs #scpol #scprimary
Charleston,chasCityPaper,157153049582903296,2012-01-11 17:33:01 UTC,Morals and economy are linked according to Rick Santorum http://t.co/mS0elwJX #gop #scpol
Charleston,CharlestonPats,157154032790675456,2012-01-11 17:36:55 UTC,"Rick Santorum, the Romney alternative to Romney http://t.co/yIKEvTP6"
Charleston,robertdonovan,157155264561295360,2012-01-11 17:41:49 UTC,Is that part of his xtian sharialaw @chasCityPaper Morals and economy are linked according to Rick Santorum http://t.co/kfdYcnh7 #gop #scpol
Charleston,HelpingSantorum,157159397641039873,2012-01-11 17:58:14 UTC,"RT @TeamSantorumSC: RT @ricksantorum: I'm holding events today in Ridgeway & Columbia, SC! Details here: http://t.co/GfRjhnE2 #fits #decision2012"
Charleston,Alvin691,157161180207648768,2012-01-11 18:05:19 UTC,"RT @CharlestonPats: Rick Santorum, the Romney alternative to Romney http://t.co/yIKEvTP6"
