location_found_within,from_user,id,created_at,text
Charleston,SCollins0228,157419547094294528,2012-01-12 11:11:59 UTC,"Gingrich to appear with James Clyborn today in SC. Wow his campaign is on the ropes! He, Santorum, Perry, all of them need to drop out"
Charleston,GooseCreekPatch,157465470201634816,2012-01-12 14:14:28 UTC,Busy day in #chs for GOP primary. Perry in Summerville. Santorum on Daniel Island. http://t.co/8iv8xf7M Follow @SCPrimary
Charleston,SCPrimary,157465602498371584,2012-01-12 14:14:59 UTC,RT @GooseCreekPatch: Busy day in #chs for GOP primary. Perry in Summerville. Santorum on Daniel Island. http://t.co/8iv8xf7M Follow @SCPrimary
Charleston,TeamSantorumSC,157469377661382656,2012-01-12 14:29:59 UTC,RT @ricksantorum: Honored to have your support. http://t.co/YHXdabTs…. #fb #scgop #tcot #teamsantorum #scprimary
Charleston,patriotmom61,157469429049999362,2012-01-12 14:30:12 UTC,RT @TeamSantorumSC: RT @ricksantorum: Honored to have your support. http://t.co/YHXdabTs…. #fb #scgop #tcot #teamsantorum #scprimary
Charleston,TeamSantorumSC,157477963330359298,2012-01-12 15:04:07 UTC,Packed house in Sun City for Town Hall with @RickSantorum. Thank you Sun City! http://t.co/dyuMvj02
Charleston,TeamSantorumIA,157481683187281920,2012-01-12 15:18:53 UTC,RT @TeamSantorumSC: Packed house in Sun City for Town Hall with @RickSantorum. Thank you Sun City! http://t.co/dyuMvj02
Charleston,WCBD,157484571733147648,2012-01-12 15:30:22 UTC,Rick Santorum will be in Hilton Head 2day speaking to voters we will be LIVE STREAMING this event http://t.co/FnHYUArR
Charleston,TeamSantorumSC,157486201580953600,2012-01-12 15:36:52 UTC,@RickSantorum's brother Dan Santorum giving a heartfelt introduction of his brother. http://t.co/asRziY4v
Charleston,sahlersmeyer,157488845192040448,2012-01-12 15:47:21 UTC,RT @TeamSantorumSC: @RickSantorum's brother Dan Santorum giving a heartfelt introduction of his brother. http://t.co/asRziY4v
Charleston,TeamSantorum,157489670719148032,2012-01-12 15:50:38 UTC,RT @TeamSantorumSC: Packed house in Sun City for Town Hall with @RickSantorum. Thank you Sun City! http://t.co/dyuMvj02
Charleston,ClasicMthrGoose,157490278029205505,2012-01-12 15:53:02 UTC,RT @TeamSantorumSC: @RickSantorum's brother Dan Santorum giving a heartfelt introduction of his brother. http://t.co/asRziY4v
Charleston,TeamSantorumSC,157491156312268803,2012-01-12 15:56:32 UTC,@RickSantorum taking questions from the Sun City crowd. http://t.co/xpzFDwco
